owner,owner_flag,status,status_flag,pipe_type,pipe_type_flag,width,width_flag,ds_width,ds_width_flag,pipe_material,pipe_material_flag,ds_pipe_material,ds_pipe_material_flag,lining_type,lining_type_flag,ds_lining_type,ds_lining_type_flag,lining_material,lining_material_flag,ds_lining_material,ds_lining_material_flag,length,length_flag,current_value,current_value_flag,replace_cost,replace_cost_flag,lifetime,lifetime_flag,year_laid,year_laid_flag,pipe_class,pipe_class_flag,asset_id,asset_id_flag,user_text_30,user_text_30_flag,user_text_35,user_text_35_flag,user_text_40,user_text_40_flag
WCC,IF,INUS,CONF,WWRM,CONF,150,ASB,150,#D,AC,CONF,AC,#D,,#D,,#D,,#D,,#D,63.692,#D,15890.1,OP14,28520.69,OP14,70,OP14,1/01/1983,CONF,D,CONF,WWP012616,IN,PS37,RMCO,0,,PS37,RMCO
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,110.041,#D,89383.57,OP14,137513.18,OP14,60,OP14,1/01/1993,CONF,,,WWP012626,IN,PS38,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,667,CONF,667,#D,ST,MSIM,ST,#D,,#D,,#D,,#D,,#D,19.999,#D,16244.69,OP14,24991.83,OP14,60,OP14,1/01/1993,CONF,,,WWP012629,IN,PS38,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,110,CONF,110,#D,HDPE,CONF,HDPE,#D,,#D,,#D,,#D,,#D,229.887,#D,70850.72,OP14,88563.39,OP14,80,OP14,1/01/1998,CONF,SDR22,CONF,WWP013975,IN,PS13,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,225,CONF,225,#D,CI,HARM,CI,#D,,#D,,#D,,#D,,#D,177.951,#D,50259.09,OP14,100518.18,OP14,100,OP14,1/01/1955,HARM,,,WWP014512,IN,PS01,RMCO,1,,,
WCC,IF,INUS,CONF,WWRM,CONF,300,CONF,300,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,178.735,#D,60920.38,OP14,121840.75,OP14,70,OP14,1/01/1985,HARM,,,WWP014514,IN,PS01,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,300,CONF,300,#D,CI,HARM,CI,#D,,#D,,#D,,#D,,#D,30.66,#D,11077.23,OP14,20900.43,OP14,100,OP14,1/01/1967,JB,,,WWP014515,IN,PS01,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,300,CONF,300,#D,CI,JB,CI,#D,,#D,,#D,,#D,,#D,41.792,#D,14244.46,OP14,28488.93,OP14,70,OP14,1/01/1985,HARM,,,WWP014543,IN,PS01,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,300,CONF,300,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,118.349,#D,40338.3,OP14,80676.6,OP14,70,OP14,1/01/1985,HARM,,,WWP014544,IN,PS01,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,300,CONF,300,#D,CI,CONF,CI,#D,,#D,,#D,,#D,,#D,34.979,#D,11922.31,OP14,23844.62,OP14,70,OP14,1/01/1985,HARM,,,WWP014545,IN,PS01,RMCO,0,,,
WCC,IF,INUS,CONF,WWRM,CONF,150,CONF,150,#D,AC,HARM,AC,#D,,#D,,#D,,#D,,#D,6.077,#D,114.34,OP14,2721.22,OP14,119,OP14,2/01/1900,CONF,,,WWP033724,IN,PS19,RMCO,0,,,
